name,distribution,totalTime,avgTimePerHash,avgDeviationFromPerfectPercentage,probeCount
"crc32, md4, sha1","33 33 34",6486.8049621582,0.018533728463309,2.203,3
"crc32, md4, sha256","33 33 34",8983.6928844452,0.025667693955558,2.384,3
"crc32, md4, sha3-224","33 33 34",7774.6200561523,0.022213200160435,2.372,3
"crc32, md4, sha512","33 33 34",10394.976615906,0.029699933188302,2.419,3
"crc32, md5, sha1","33 33 34",6748.7947940826,0.019282270840236,2.399,3
"crc32, md5, sha256","33 33 34",9324.9261379242,0.026642646108355,2.619,3
"crc32, md5, sha3-224","33 33 34",7904.1373729706,0.022583249637059,2.535,3
"crc32, md5, sha512","33 33 34",10347.427845001,0.029564079557146,2.501,3
"crc32, sha1, sha256","33 33 34",9328.3679485321,0.026652479852949,2.378,3
"crc32, sha1, sha3-224","33 33 34",7925.7798194885,0.022645085198539,2.616,3
"crc32, sha1, sha512","33 33 34",10333.61697197,0.029524619919913,2.648,3
"crc32, sha256, sha3-224","33 33 34",10494.928598404,0.029985510281154,2.656,3
"crc32, sha256, sha512","33 33 34",12904.031991959,0.036868662834167,2.702,3
"crc32, sha3-224, sha512","33 33 34",11528.384685516,0.032938241958618,2.671,3
"md4, md5, sha1","33 33 34",7432.356595993,0.02123530455998,0.099999999999994,3
"md4, md5, sha256","33 33 34",9882.8496932983,0.028236713409424,0.188,3
"md4, md5, sha3-224","33 33 34",8313.3130073547,0.023752322878156,0.088000000000001,3
"md4, md5, sha512","33 33 34",10981.022596359,0.031374350275312,0.203,3
"md4, sha1, sha256","33 33 34",9589.5500183105,0.02739871433803,0.23,3
"md4, sha1, sha3-224","33 33 34",8276.9019603729,0.023648291315351,0.16200000000001,3
"md4, sha1, sha512","33 33 34",10713.078737259,0.030608796392168,0.235,3
"md4, sha256, sha3-224","33 33 34",10856.225728989,0.03101778779711,0.239,3
"md4, sha256, sha512","33 33 34",13315.647125244,0.038044706072126,0.18099999999999,3
"md4, sha3-224, sha512","33 33 34",11931.569099426,0.034090197426932,0.094000000000008,3
"md5, sha1, sha256","33 33 34",10002.39610672,0.028578274590628,0.048999999999992,3
"md5, sha1, sha3-224","33 33 34",8596.0021018982,0.024560006005423,0.16099999999999,3
"md5, sha1, sha512","33 33 34",11152.575969696,0.03186450277056,0.108,3
"md5, sha256, sha3-224","33 33 34",11368.855237961,0.032482443537031,0.271,3
"md5, sha256, sha512","33 33 34",13700.216054916,0.039143474442618,0.082999999999998,3
"md5, sha3-224, sha512","33 33 34",11984.620332718,0.034241772379194,0.081999999999994,3
"sha1, sha256, sha3-224","33 33 34",11024.150848389,0.031497573852539,0.26900000000001,3
"sha1, sha256, sha512","33 33 34",13450.549840927,0.038430142402649,0.28,3
"sha1, sha3-224, sha512","33 33 34",12036.164999008,0.034389042854309,0.097999999999999,3
"sha256, sha3-224, sha512","33 33 34",14566.930770874,0.041619802202497,0.124,3
"crc32, md4, md5, sha1","33 33 34",8650.78997612,0.024716542788914,0.584,4
"crc32, md4, md5, sha256","33 33 34",11231.710910797,0.032090602602277,0.913,4
"crc32, md4, md5, sha3-224","33 33 34",10016.030073166,0.028617228780474,0.756,4
"crc32, md4, md5, sha512","33 33 34",12232.42020607,0.034949772017343,0.746,4
